population,percentage,life expectancy,income,group
919,11.46171115,,21042.0,Black
192,2.3946121227,,,Hispanic
6759,84.297829883,,46418.0,White
140,0.5948081744,,,AIAN
251,1.066406084,,,Asian
8319,35.344351447,72.888495194,22820.0,Black
682,2.8975655351,,,Hispanic
13919,59.136678421,76.92702517,50200.0,White
183,0.8759753004,,,AIAN
97,0.4643147767,,,Asian
2363,11.3110909,76.161446115,35233.0,Black
840,4.0208702312,,38341.0,Hispanic
16988,81.317313676,74.949577642,46392.0,White
587,0.5407247739,,,AIAN
1355,1.248180696,,,Asian
17401,16.029219403,73.052164742,27550.0,Black
5624,5.1806407635,,32353.0,Hispanic
82067,75.597376518,76.804719159,51090.0,White
1622,2.5581175283,,34323.0,AIAN
1049,1.654417563,,37917.0,Asian
890,1.4036526512,,21181.0,Black
5101,8.0449799703,,28400.0,Hispanic
53145,83.816988928,,48226.0,White
186,0.384758595,,,AIAN
325,0.672293244,,76750.0,Asian
25941,53.661412436,71.332411887,30373.0,Black
1267,2.6209093542,,37069.0,Hispanic
20050,41.475321666,74.108452599,57607.0,White
69,0.4137682898,,,AIAN
126,0.7555768769,,,Asian
3789,22.721276085,70.073607745,31729.0,Black
334,2.0028783881,,29304.0,Hispanic
12130,72.739266011,73.203434992,47773.0,White
45,0.626566416,,,AIAN
17,0.2367028683,,,Asian
2960,41.214146477,74.176766896,31364.0,Black
242,3.3695349485,,,Hispanic
3811,53.06321359,74.918547355,40338.0,White
49,0.4256428075,,,AIAN
73,0.6341209173,,,Asian
5398,46.890201529,70.065491689,22828.0,Black
738,6.4107018763,,25492.0,Hispanic
5125,44.51876303,72.711508718,45742.0,White
101,0.551069402,,,AIAN
124,0.676560454,,,Asian
5104,27.848101266,73.977321186,24329.0,Black
710,3.8738542121,,23802.0,Hispanic
12118,66.117415976,74.683738044,57984.0,White
848,0.6794545134,,49792.0,AIAN
1633,1.3084306844,88.507149983,60553.0,Asian
14979,12.001826835,74.319952829,33858.0,Black
5165,4.1384228322,95.379505467,30636.0,Hispanic
99820,79.98012916,76.724277713,56653.0,White
255,1.4317798989,,38750.0,AIAN
186,1.0443571028,,,Asian
158,0.887142055,,,Black
609,3.419427288,,,Hispanic
16293,91.482313307,,39538.0,White
96,0.7824598582,,24107.0,AIAN
40,0.3260249409,,,Asian
78,0.6357486348,,,Black
188,1.5323172223,,,Hispanic
11659,95.028119651,,36398.0,White
756,0.7624503298,,,AIAN
868,0.8754059342,,,Asian
8459,8.5311737298,71.655995714,25435.0,Black
5811,5.8605805111,88.570785511,30214.0,Hispanic
81108,81.800028239,74.887688374,45868.0,White
95,0.5223224104,,13625.0,AIAN
74,0.406861667,,,Asian
487,2.6775896195,,51563.0,Black
530,2.9140092369,,,Hispanic
